"","CatSpeSpeciesRef","BandNumber","Date","Sex","Age","CatSampleID","LocRegionRef","LocLon","LocLat","AIV","AIVAb","CatAgeAgeRef","SpeOrder","lat","lon","Year","Month","Year2","Season","Ecotype","group","Species","Order"
"30","Australian magpie",NA,2013-11-10,"F",NA,"5602","Young",148.4815,-34.1459,0,NA,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"31","Australian magpie",NA,2013-11-11,"F","J","5623","Young",148.4815,-34.1459,0,0,"J","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"32","Australian magpie",NA,2013-11-10,"F","J","5593","Young",148.4815,-34.1459,0,0,"1","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"33","Australian magpie",NA,2013-11-10,"F",NA,"5600","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"34","Australian magpie",NA,2013-11-10,"F",NA,"5606","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"35","Australian magpie",NA,2013-11-10,"F",NA,"5589","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"36","Australian magpie",NA,2013-11-10,"F",NA,"5611","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"37","Australian magpie",NA,2013-11-11,"F",NA,"5622","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"38","Australian magpie",NA,2013-11-10,"F",NA,"5590","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"39","Australian magpie",NA,2013-11-10,"F","J","5604","Young",148.4815,-34.1459,0,0,"J","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"40","Australian pratincole","06321701",2012-11-05,NA,"A","2685","Innamincka Regional Reserve",140.28,-26.95,0,0,"1+","Charadriiformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australian pratincole","Charadriiformes"
"41","Australian pratincole",NA,2012-11-03,"F","A","2600","Innamincka Regional Reserve",140.28,-26.95,0,NA,"1+","Charadriiformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australian pratincole","Charadriiformes"
"42","Australian shelduck",NA,2013-02-07,"F","A","4121","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"43","Australian shelduck",NA,2017-03-23,"F",NA,"10791","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"44","Australian shelduck",NA,2017-03-23,"F",NA,"10802","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"45","Australian shelduck",NA,2018-05-19,"F","A","10873","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"46","Australian shelduck","12157278",2013-02-04,"F","A","3993","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"47","Australian shelduck","12153223",2012-02-16,"M","A","2031","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"48","Australian shelduck","12157316",2013-02-11,"F","A","4136","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"49","Australian shelduck","12153230",2012-02-21,NA,"A","2051","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"50","Australian shelduck","12153229",2012-12-10,"F","A","3784","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"51","Australian shelduck",NA,2017-03-23,"F",NA,"10808","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"52","Australian shelduck",NA,2017-03-23,"F",NA,"10797","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"53","Australian shelduck",NA,2017-03-23,"F",NA,"10811","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"54","Australian shelduck",NA,2017-03-23,"F",NA,"10803","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"55","Australian shelduck","12153224",2012-02-21,"M","A","2045","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"56","Australian shelduck",NA,2017-03-23,"F",NA,"10785","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"57","Australian shelduck",NA,2017-03-23,"F",NA,"10805","Cressy",143.5298,-38.0676,1,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"58","Australian shelduck",NA,2017-06-02,"F",NA,"10608","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"59","Australian shelduck","12153229",2012-02-21,"F","A","2050","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"60","Australian shelduck","12158170",2014-02-05,"M","A","6639","Melbourne Western Treatment Plant",144.65,-37.99,1,0,"1+","Anseriformes",-37.99,144.65,2014,2,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
"61","Australian shelduck",NA,2017-03-23,"F",NA,"10794","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"62","Australian shelduck","12153240",2012-04-11,"F","A","3235","Melbourne Western Treatment Plant",144.65,-37.99,NA,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"63","Australian shelduck",NA,2017-03-23,"F",NA,"10789","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"64","Australian shelduck","12153231",2012-02-21,NA,"A","2052","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"65","Australian shelduck",NA,2018-05-19,"F","A","10708","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"66","Australian shelduck","12153201",2012-02-14,"F","A","1973","Melbourne Western Treatment Plant",144.65,-37.99,1,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"67","Australian shelduck","12153203",2012-02-14,"M","A","1975","Melbourne Western Treatment Plant",144.65,-37.99,0,NA,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"68","Australian shelduck","12153225",2012-02-21,"M","A","2046","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"69","Australian shelduck",NA,2017-03-23,"F",NA,"10786","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"70","Australian shelduck",NA,2017-03-23,"F",NA,"10801","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"71","Australian shelduck",NA,2017-03-23,"F",NA,"10799","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"72","Australian shelduck",NA,2018-06-11,"F",NA,"11589","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2018,6,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"73","Australian shelduck",NA,2018-05-19,"F","A","10872","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"74","Australian shelduck","12158282",2014-01-29,"F",NA,"6593","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"U","Anseriformes",-37.99,144.65,2014,1,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
"75","Australian shelduck","12157254",2012-12-10,"M","A","3746","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"76","Australian shelduck",NA,2017-06-02,"F",NA,"10605","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"77","Australian shelduck",NA,2018-05-19,"F","A","11471","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"78","Australian shelduck",NA,2017-03-23,"F",NA,"10792","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"79","Australian shelduck",NA,2016-06-11,"F",NA,"10007","Paynesville",147.716667,-37.916667,0,NA,"U","Anseriformes",-37.92,147.72,2016,6,NA,"W","Temp","Duck","Australian shelduck","Anseriformes"
"80","Australian shelduck","12157258",2012-12-10,"F","A","3769","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"81","Australian shelduck",NA,2017-03-23,"F",NA,"10807","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"82","Australian shelduck","12153226",2012-02-21,"F","A","2047","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"83","Australian shelduck",NA,2017-03-23,"F",NA,"10809","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"84","Australian shelduck","12153229",2013-02-14,"F","A","4182","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"85","Australian shelduck",NA,2017-03-23,"F",NA,"10796","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"86","Australian shelduck",NA,2017-06-02,"F",NA,"10607","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
